MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
OKC,L,33,3,10,0.3,3,8,0.375,0,0,0.0,0,3,3,4,0,2,2,2,9,-4,Royce O'Neale
HOU,L,27,7,13,0.538,4,8,0.5,2,2,1.0,1,9,10,2,1,1,0,2,20,4,Royce O'Neale
HOU,W,37,3,10,0.3,3,9,0.333,2,2,1.0,1,5,6,7,3,1,1,3,11,10,Royce O'Neale
LAL,W,37,7,12,0.583,6,10,0.6,0,0,0.0,0,9,9,4,2,1,0,2,20,22,Royce O'Neale
@HOU,L,17,0,5,0.0,0,4,0.0,1,2,0.5,2,2,4,1,1,0,1,1,1,-23,Royce O'Neale
@DAL,L,30,4,12,0.333,2,8,0.25,0,0,0.0,1,8,9,2,1,0,1,3,10,-7,Royce O'Neale
DET,W,24,3,6,0.5,3,6,0.5,0,0,0.0,0,7,7,3,2,0,1,1,9,37,Royce O'Neale
SAC,W,30,3,7,0.429,2,5,0.4,1,3,0.333,0,4,4,5,4,1,0,4,9,13,Royce O'Neale
@GSW,L,11,1,3,0.333,1,2,0.5,0,0,0.0,2,2,4,1,1,1,1,2,3,4,Royce O'Neale
DAL,L,32,6,16,0.375,4,11,0.364,2,2,1.0,1,5,6,2,0,0,2,1,18,-9,Royce O'Neale
GSW,L,27,5,12,0.417,5,12,0.417,0,0,0.0,1,2,3,1,1,0,1,4,15,-12,Royce O'Neale
@PHI,W,26,3,5,0.6,2,4,0.5,0,0,0.0,1,3,4,2,0,0,1,2,8,-5,Royce O'Neale
PHX,L,21,1,3,0.333,1,3,0.333,0,0,0.0,0,1,1,1,0,0,0,5,3,-13,Royce O'Neale
UTA,W,18,4,7,0.571,3,6,0.5,0,0,0.0,0,4,4,2,2,2,0,3,11,27,Royce O'Neale
HOU,W,23,2,3,0.667,2,3,0.667,0,0,0.0,0,6,6,0,0,1,2,2,6,-10,Royce O'Neale
MIN,L,18,1,4,0.25,1,4,0.25,0,0,0.0,1,3,4,2,0,1,1,2,3,-1,Royce O'Neale
NYK,L,20,3,4,0.75,2,3,0.667,0,0,0.0,2,2,4,3,1,1,1,3,8,-8,Royce O'Neale
@LAC,L,15,1,6,0.167,0,5,0.0,2,2,1.0,0,1,1,0,0,0,0,2,4,8,Royce O'Neale
@LAL,W,17,0,5,0.0,0,5,0.0,0,0,0.0,0,7,7,3,0,0,0,1,0,4,Royce O'Neale
@POR,L,20,1,4,0.25,0,3,0.0,0,0,0.0,0,3,3,3,0,0,2,1,2,-3,Royce O'Neale
MIA,L,30,5,10,0.5,5,10,0.5,0,0,0.0,1,8,9,5,0,1,0,4,15,9,Royce O'Neale
@CLE,L,17,0,2,0.0,0,2,0.0,0,0,0.0,0,2,2,1,0,0,1,2,0,-8,Royce O'Neale
POR,L,18,3,5,0.6,2,4,0.5,0,0,0.0,0,3,3,1,1,0,2,3,8,-8,Royce O'Neale
OKC,W,16,2,4,0.5,1,2,0.5,0,0,0.0,2,2,4,2,1,0,5,3,5,16,Royce O'Neale
@HOU,L,30,5,13,0.385,2,8,0.25,1,2,0.5,1,3,4,3,2,0,1,3,13,-7,Royce O'Neale
@NOP,L,28,0,6,0.0,0,5,0.0,0,0,0.0,4,4,8,5,1,0,3,3,0,-10,Royce O'Neale
@OKC,L,21,2,9,0.222,1,7,0.143,0,0,0.0,1,2,3,2,1,0,0,2,5,-11,Royce O'Neale
@WAS,L,18,3,4,0.75,1,2,0.5,0,0,0.0,1,2,3,2,0,0,2,0,7,-10,Royce O'Neale
MIL,L,10,1,4,0.25,1,3,0.333,0,0,0.0,0,1,1,2,0,0,0,1,3,1,Royce O'Neale
@DET,W,15,3,6,0.5,2,3,0.667,0,0,0.0,0,2,2,2,0,0,0,2,8,14,Royce O'Neale
DET,W,19,2,3,0.667,1,1,1.0,0,0,0.0,0,6,6,5,1,0,1,1,5,13,Royce O'Neale
DEN,L,22,4,7,0.571,2,5,0.4,3,4,0.75,2,4,6,3,0,2,1,1,13,5,Royce O'Neale
NYK,L,28,2,11,0.182,2,10,0.2,0,0,0.0,1,5,6,6,1,3,2,2,6,-10,Royce O'Neale
@UTA,L,23,2,6,0.333,2,6,0.333,0,0,0.0,0,1,1,1,1,0,1,2,6,-11,Royce O'Neale
@GSW,L,34,4,10,0.4,3,9,0.333,0,0,0.0,3,2,5,3,1,1,3,4,11,3,Royce O'Neale
@DEN,L,14,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,1,0,1,1,2,-19,Royce O'Neale
@PHX,W,19,3,5,0.6,2,4,0.5,0,0,0.0,0,1,1,4,0,0,0,1,8,19,Royce O'Neale
